rubygems-integration 1.11
screen 4.6.2-3
sed 4.7-1
sensible-utils 0.0.12
shared-mime-info 1.10-1
sntp 1:4.2.8p12+dfsg-4
ssh 1:7.9p1-10+deb10u2
ssh-import-id 5.7-1
strace 4.26-0.2
sudo 1.8.27-1+deb10u2
systemd 241-7~deb10u3+rpi1
systemd-sysv 241-7~deb10u3+rpi1
sysvinit-utils 2.93-8
tar 1.30+dfsg-6
task-ssh-server 3.53
tasksel 3.53
tasksel-data 3.53
tcpdump 4.9.3-1~deb10u1
telnet 0.17-41.2
traceroute 1:2.1.0-2
triggerhappy 0.5.0-1
tzdata 2019c-0+deb10u1
ucf 3.0038+nmu1
udev 241-7~deb10u3+rpi1
unzip 6.0-23+deb10u1
usb-modeswitch 2.5.2+repack0-2
usb-modeswitch-data 20170806-2
usb.ids 2019.07.27-0+deb10u1
usbutils 1:010-3
util-linux 2.33.1-0.1
v4l-utils 1.16.3-3
vim-common 2:8.1.0875-5
vim-gtk 2:8.1.0875-5
vim-gui-common 2:8.1.0875-5
vim-runtime 2:8.1.0875-5
vim-tiny 2:8.1.0875-5
vl805fw 0.2
wget 1.20.1-1.1
whiptail 0.52.20-8
wireless-regdb 2018.05.09-0~rpt1
wireless-tools 30~pre9-13
wpasupplicant 2:2.7+git20190128+0c1e29f-6+deb10u1
x11-common 1:7.7+19
xauth 1:1.0.10-1
xdg-user-dirs 0.17-2
xkb-data 2.26-2
xxd 2:8.1.0875-5
xz-utils 5.2.4-1
zip 3.0-11
zlib1g:armhf 1:1.2.11.dfsg-1
zlib1g-dev:armhf 1:1.2.11.dfsg-1
